framework_id,grade,subject,level,text,source_url,page
CA-CCSSM-2013,4,mathematics,4,The student demonstrates advanced grade-level knowledge and skills and shows a sophisticated understanding of and ability to apply the knowledge and skills in mathematics needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSS-ELA-2013,4,english_language_arts,1,The student demonstrates minimal grade-level knowledge and skills and shows a limited understanding of and ability to apply the knowledge and skills in English language arts/literacy needed for success in future coursewo,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSS-ELA-2013,4,english_language_arts,2,The student demonstrates developing grade-level knowledge and skills and shows an initial understanding of and ability to apply the knowledge and skills in English language arts/literacy needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSS-ELA-2013,4,english_language_arts,3,The student demonstrates proficient grade-level knowledge and skills and shows a thorough understanding of and ability to apply the knowledge and skills in English Language arts/literacy needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSS-ELA-2013,4,english_language_arts,4,The student demonstrates advanced grade-level knowledge and skills and shows a sophisticated understanding of and ability to apply the knowledge and skills in English language arts/literacy needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSSM-2013,5,mathematics,1,The student demonstrates minimal grade-level knowledge and skills and shows a limited understanding of and ability to apply the knowledge and skills in mathematics needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSSM-2013,5,mathematics,2,The student demonstrates developing grade-level knowledge and skills and shows an initial understanding of and ability to apply the knowledge and skills in mathematics needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSSM-2013,5,mathematics,3,The student demonstrates proficient grade-level knowledge and skills and shows a thorough understanding of and ability to apply the knowledge and skills in mathematics needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSSM-2013,5,mathematics,4,The student demonstrates advanced grade-level knowledge and skills and shows a sophisticated understanding of and ability to apply the knowledge and skills in mathematics needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSS-ELA-2013,5,english_language_arts,1,The student demonstrates minimal grade-level knowledge and skills and shows a limited understanding of and ability to apply the knowledge and skills in English language arts/literacy needed for success in future coursewo,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSS-ELA-2013,5,english_language_arts,2,The student demonstrates developing grade-level knowledge and skills and shows an initial understanding of and ability to apply the knowledge and skills in English language arts/literacy needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSS-ELA-2013,5,english_language_arts,3,The student demonstrates proficient grade-level knowledge and skills and shows a thorough understanding of and ability to apply the knowledge and skills in English Language arts/literacy needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
CA-CCSS-ELA-2013,5,english_language_arts,4,The student demonstrates advanced grade-level knowledge and skills and shows a sophisticated understanding of and ability to apply the knowledge and skills in English language arts/literacy needed for success in future coursework.,https://www.caaspp-elpac.org/resources/reporting/ssr-and-reporting-resources/alds,
